month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2017-07-01,S92000003,75plus,28512,920
2017-08-01,S08000015,18plus,2876,93
2017-08-01,S08000015,18-74,418,13
2017-08-01,S08000015,75plus,2458,79
2017-08-01,S08000016,18plus,1168,38
2017-08-01,S08000016,18-74,365,12
2017-08-01,S08000016,75plus,803,26
2017-08-01,S08000017,18plus,1079,35
2017-08-01,S08000017,18-74,234,8
2017-08-01,S08000017,75plus,845,27
2017-08-01,S08000019,18plus,2677,86
2017-08-01,S08000019,18-74,763,25
2017-08-01,S08000019,75plus,1914,62
2017-08-01,S08000020,18plus,3455,111
2017-08-01,S08000020,18-74,971,31
2017-08-01,S08000020,75plus,2484,80
2017-08-01,S08000022,18plus,3716,120
2017-08-01,S08000022,18-74,779,25
2017-08-01,S08000022,75plus,2937,95
2017-08-01,S08000024,18plus,9751,315
2017-08-01,S08000024,18-74,2999,97
2017-08-01,S08000024,75plus,6752,218
2017-08-01,S08000025,18plus,112,4
2017-08-01,S08000025,18-74,31,1
2017-08-01,S08000025,75plus,81,3
2017-08-01,S08000026,18plus,107,3
2017-08-01,S08000026,18-74,3,0
2017-08-01,S08000026,75plus,104,3
2017-08-01,S08000028,18plus,422,14
2017-08-01,S08000028,18-74,52,2
2017-08-01,S08000028,75plus,370,12
2017-08-01,S08000029,18plus,2518,81
2017-08-01,S08000029,18-74,762,25
2017-08-01,S08000029,75plus,1756,57
2017-08-01,S08000030,18plus,3121,101
2017-08-01,S08000030,18-74,1232,40
2017-08-01,S08000030,75plus,1889,61
2017-08-01,S08000031,18plus,4212,136
2017-08-01,S08000031,18-74,1981,64
2017-08-01,S08000031,75plus,2231,72
2017-08-01,S08000032,18plus,6418,207
2017-08-01,S08000032,18-74,1864,60
2017-08-01,S08000032,75plus,4554,147
2017-08-01,S92000003,18plus,41632,1343
2017-08-01,S92000003,18-74,12454,402
2017-08-01,S92000003,75plus,29178,941
2017-09-01,S08000015,18plus,2914,97
2017-09-01,S08000015,18-74,526,18
2017-09-01,S08000015,75plus,2388,80
2017-09-01,S08000016,18plus,1179,39
2017-09-01,S08000016,18-74,444,15
2017-09-01,S08000016,75plus,735,25
